"","Corpus","Author","Year","Case"
"5376","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","McCain v Lybrand.txt"
"5377","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McCarthy v Bronson.txt"
"5378","SupremeCourtCorpusFinalEncoded","StevensCleaned","1987","McCleskey v Kemp.txt"
"5379","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","McCluney v Jos. Schlitz Brewing Co..txt"
"5380","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McConnell v Federal Election Commission.txt"
"5381","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McConnell v Federal Election Commission(1).txt"
"5382","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McCormick v US.txt"
"5383","SupremeCourtCorpusFinalEncoded","StevensCleaned","1988","McCoy v Court of Appeals, Dist. 1.txt"
"5384","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","McDaniel v Sanchez.txt"
"5385","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McDermott v Amclyde.txt"
"5386","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McDevitt v Philadelphia.txt"
"5387","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McDonald v. Chicago.txt"
"5388","SupremeCourtCorpusFinalEncoded","StevensCleaned","1982","McElroy v US.txt"
"5389","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"MCI Telecommunications v AT&T.txt"
"5390","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McKune v Lile.txt"
"5391","SupremeCourtCorpusFinalEncoded","StevensCleaned","1988","McLaughlin v Richland Shoe Co..txt"
"5392","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","McLaughlin v US.txt"
"5393","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","McMillan v Pennsylvania.txt"
"5394","SupremeCourtCorpusFinalEncoded","StevensCleaned","1987","McNally v US.txt"
"5395","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McNary v Haitian Refugee Center.txt"
"5396","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McNeil v US.txt"
"5397","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"McNeil v Wisconsin.txt"
"5398","SupremeCourtCorpusFinalEncoded","StevensCleaned","1976","Meachum v Fano.txt"
"5399","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mead Corp. v Tilley.txt"
"5400","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Medellin v. Texas.txt"
"5401","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Medtronic v Lohr.txt"
"5402","SupremeCourtCorpusFinalEncoded","StevensCleaned","1987","Meese v Keene.txt"
"5403","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Melendez v US.txt"
"5404","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","Members of City Council v Taxpayers for Vincent.txt"
"5405","SupremeCourtCorpusFinalEncoded","StevensCleaned","1978","Memphis Light, Gas & Water Div. v Craft.txt"
"5406","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","Memphis v Greene.txt"
"5407","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Merck v. Reynolds.txt"
"5408","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Meritor Sav. Bank, FSB v Vinson.txt"
"5409","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Merrell Dow Pharmaceuticals, Inc. v Thompson.txt"
"5410","SupremeCourtCorpusFinalEncoded","StevensCleaned","1982","Merrill Lynch, Pierce, Fenner & Smith v Curran.txt"
"5411","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Merrill Lynch, Pierce, Fenner & Smith v Dabit.txt"
"5412","SupremeCourtCorpusFinalEncoded","StevensCleaned","1982","Merrion v Jicarilla Apache Tribe.txt"
"5413","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Metro Board v FCC.txt"
"5414","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","Metromedia Inc. v City of Sand Diego.txt"
"5415","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","Metropolitan County Bd. of Education v Kelley.txt"
"5416","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Metropolitan Washington Airports Authority v Citizens for Abatement of Aircraft Noise.txt"
"5417","SupremeCourtCorpusFinalEncoded","StevensCleaned","1988","Meyer v Grant.txt"
"5418","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","Mich. v Summers.txt"
"5419","SupremeCourtCorpusFinalEncoded","StevensCleaned","1978","Mich. v Tyler.txt"
"5420","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Michael H. v Gerald D..txt"
"5421","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Michigan Department of State Police v Sitz.txt"
"5422","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","Michigan v Clifford.txt"
"5423","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Michigan v Harvey.txt"
"5424","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Michigan v Jackson.txt"
"5425","SupremeCourtCorpusFinalEncoded","StevensCleaned","1983","Michigan v Long.txt"
