Feature,Mean Difference,Gender
infringement,0.0645,F
applicants,0.0644,F
blood,0.064333333,F
joined,0.06425,F
charged,0.064222222,F
balancing,0.064133333,F
male,0.0641,F
indifference,0.064,F
task,0.064,F
workplace,0.064,F
recorded,0.0638,F
weeks,0.0638,F
legitimate,0.063511111,F
tool,0.0634,F
victim's,0.0634,F
latitude,0.0633,F
acknowledging,0.0632,F
seizures,0.0632,F
disputes,0.063028571,F
monthly,0.063,F
african,0.0629,F
individual's,0.0629,F
gross,0.062828571,F
daily,0.0627,F
assess,0.06268,F
minimal,0.06264,F
occurrence,0.0626,F
bear,0.062525,F
gen,0.0625,F
surprise,0.0625,F
coastal,0.0624,F
testing,0.062333333,F
cty,0.0623,F
prudential,0.0623,F
illegal,0.06225,F
residents,0.062171429,F
rendering,0.062,F
expectation,0.0618,F
wis,0.0617,F
allows,0.061685714,F
line,0.0616,F
threaten,0.0615,F
southern,0.06144,F
investment,0.061433333,F
explaining,0.061314286,F
contemporaneous,0.0613,F
overall,0.0613,F
plan,0.06128,F
guided,0.0612,F
earned,0.0611,F
effectiveness,0.0611,F
reluctant,0.0611,F
concrete,0.061,F
deeply,0.061,F
practices,0.060977778,F
survive,0.0606,F
due,0.060583333,F
fire,0.060533333,F
approval,0.06025,F
employers,0.0602,F
instructions,0.06005,F
minn,0.06,F
meet,0.05985,F
invidious,0.0598,F
ill,0.059775,F
nation's,0.0597,F
supp,0.059672727,F
sought,0.059666667,F
choose,0.0596,F
deprivations,0.0596,F
pregnancy,0.059571429,F
promises,0.0595,F
directed,0.05935,F
citing,0.059288889,F
social,0.059288889,F
team,0.0592,F
largely,0.059166667,F
independently,0.0591,F
today's,0.059088889,F
facing,0.059,F
cooperative,0.0587,F
island,0.058633333,F
married,0.0586,F
deprivation,0.058457143,F
juvenile,0.058433333,F
allowing,0.0584,F
troubling,0.0583,F
show,0.058111111,F
railroads,0.0581,F
implies,0.058,F
imports,0.058,F
san,0.058,F
seriously,0.057971429,F
honda,0.0578,F
allowance,0.0577,F
secretary's,0.0575,F
houses,0.0574,F
materials,0.057371429,F
g,0.057345455,F
changing,0.0573,F
contractual,0.0572,F
juveniles,0.0571,F
wl,0.0571,F
arbitration,0.056888889,F
range,0.05685,F
casts,0.0567,F
entitlement,0.056633333,F
pacific,0.05655,F
disproportionate,0.0565,F
variety,0.056333333,F
four,0.056266667,F
premises,0.0562,F
process,0.056184615,F
collective,0.056125,F
observes,0.05604,F
rate,0.056022222,F
authorizing,0.055971429,F
individualized,0.05588,F
tex,0.05584,F
waters,0.055714286,F
adhere,0.05564,F
announces,0.0556,F
advertisement,0.0554,F
martin,0.0553,F
pressure,0.0553,F
st,0.05525,F
partners,0.0552,F
upheld,0.055175,F
certification,0.055171429,F
burning,0.0551,F
officer's,0.0551,F
w,0.055088889,F
preparation,0.055,F
meeting,0.05495,F
recognized,0.054854545,F
moreover,0.05478,F
deliberate,0.054766667,F
methods,0.054742857,F
characterize,0.0547,F
demanding,0.0547,F
eastern,0.0546,F
roe,0.0546,F
tests,0.05456,F
u,0.054545455,F
lines,0.0544,F
shield,0.05435,F
harms,0.0543,F
belong,0.0542,F
introduced,0.0541,F
establish,0.054088889,F
jersey,0.053975,F
probable,0.053955556,F
criticism,0.0538,F
providers,0.0537,F
remedy,0.05364,F
admissions,0.0536,F
excise,0.0536,F
exposure,0.0536,F
realm,0.0534,F
inspection,0.05328,F
simmons,0.05324,F
directly,0.0532,F
effectively,0.0532,F
features,0.0532,F
across,0.053,F
arbitrarily,0.053,F
proposal,0.05284,F
registered,0.0527,F
heightened,0.0526,F
overruling,0.0525,F
bars,0.05248,F
affiliation,0.0524,F
collins,0.0523,F
lockett,0.0523,F
admission,0.0522,F
department's,0.0521,F
move,0.0521,F
results,0.052075,F
credit,0.052,F
tangible,0.0519,F
cooper,0.0517,F
cure,0.0517,F
resale,0.0517,F
slip,0.05165,F
membership,0.051533333,F
mechanism,0.05144,F
contract,0.051422222,F
minnesota,0.051333333,F
pendent,0.0513,F
persuasion,0.0513,F
statutorily,0.0513,F
scheme,0.051288889,F
fixed,0.051166667,F
judicially,0.0511,F
participants,0.051,F
precludes,0.0509,F
uphold,0.0509,F
group,0.050888889,F
confronted,0.05088,F
seven,0.05084,F
traditionally,0.050771429,F
readily,0.050514286,F
common,0.0505,F
conference,0.050433333,F
pursue,0.050433333,F
acknowledge,0.0504,F
fired,0.0504,F
sue,0.050228571,F
autonomy,0.0502,F
develop,0.0502,F
suspect,0.0502,F
rarely,0.0501,F
reply,0.0501,F
fell,0.05,F
asset,0.0498,F
backpay,0.0498,F
bargaining,0.049777778,F
influenced,0.0497,F
overrule,0.0496,F
prompt,0.0495,F
publicly,0.0495,F
ruled,0.04944,F
mich,0.0494,F
operative,0.0494,F
pose,0.0494,F
lee,0.0493,F
abstract,0.049233333,F
adversarial,0.0492,F
pain,0.0491,F
stipulation,0.0491,F
parcel,0.049,F
considerable,0.048933333,F
drawn,0.0488,F
heavy,0.0488,F
search,0.04876,F
rates,0.048725,F
memorial,0.0486,F
target,0.0486,F
embodied,0.04855,F
her,0.048545455,F
incompatible,0.0485,F
heavily,0.04844,F
pleas,0.0484,F
wrongful,0.048366667,F
relevant,0.048333333,F
inflicted,0.0483,F
contributed,0.0482,F
differences,0.048171429,F
governments,0.048171429,F
discretion,0.048163636,F
griffin,0.04804,F
lot,0.048,F
list,0.047914286,F
deterrent,0.0479,F
distinguishing,0.04784,F
drawing,0.04784,F
numbers,0.0477,F
challenged,0.047688889,F
respondents,0.047672727,F
destroyed,0.0476,F
high,0.047488889,F
tort,0.04745,F
barrier,0.0474,F
behalf,0.047371429,F
liable,0.047371429,F
north,0.047325,F
defect,0.04724,F
exceptions,0.0472,F
sensitive,0.0472,F
strong,0.0472,F
judgment,0.046984615,F
usual,0.046966667,F
alike,0.0469,F
unauthorized,0.0467,F
engage,0.04665,F
shown,0.0466,F
tit,0.0466,F
top,0.0466,F
oil,0.046571429,F
settlement,0.046514286,F
mills,0.0462,F
processing,0.0462,F
activity,0.046066667,F
intervention,0.04604,F
doctrines,0.046,F
acquisition,0.0458,F
anticompetitive,0.0458,F
saving,0.0458,F
circuit,0.045745455,F
susceptible,0.0457,F
relies,0.045688889,F
reporting,0.04564,F
prevailing,0.045633333,F
safeguards,0.0456,F
identical,0.045571429,F
options,0.0455,F
ample,0.0454,F
facto,0.0454,F
supervisors,0.0454,F
paper,0.045366667,F
commitment,0.045342857,F
sit,0.0453,F
equipment,0.04524,F
administering,0.0452,F
feasible,0.0452,F
unduly,0.0451,F
worker,0.0451,F
prevailed,0.045,F
redistricting,0.045,F
entity,0.044971429,F
suspicion,0.044971429,F
ultimately,0.04485,F
comm'n,0.044771429,F
ought,0.044742857,F
jury's,0.044314286,F
torts,0.0443,F
union's,0.0443,F
association,0.044288889,F
taxation,0.04425,F
upholding,0.044233333,F
offering,0.044133333,F
york's,0.0441,F
alteration,0.044,F
nd,0.044,F
satisfied,0.043925,F
law,0.043914286,F
substantive,0.043777778,F
church,0.043742857,F
s.w,0.0437,F
drug,0.043688889,F
trustees,0.04364,F
bright,0.0435,F
designed,0.043488889,F
wright,0.043433333,F
improperly,0.0433,F
md,0.0433,F
creation,0.0432,F
guide,0.0432,F
jobs,0.0431,F
willful,0.0431,F
instruction,0.043088889,F
parties,0.0429,F
res,0.0429,F
districting,0.0428,F
conduct,0.042733333,F
h,0.042688889,F
equality,0.0426,F
monell,0.0426,F
transmission,0.0426,F
plaintiff,0.0423,F
safeguard,0.0422,F
narrowly,0.042171429,F
conform,0.0421,F
accords,0.042,F
weight,0.042,F
evidence,0.041957143,F
long,0.041945455,F
insistence,0.0419,F
prepared,0.041833333,F
abortion,0.0418,F
accrued,0.0418,F
deterrence,0.0418,F
furthermore,0.041633333,F
afforded,0.0416,F
disregard,0.0416,F
notions,0.0416,F
contention,0.041571429,F
excessive,0.041571429,F
gray,0.0415,F
introduce,0.0414,F
tailoring,0.0414,F
undue,0.0414,F
protects,0.041371429,F
de,0.041325,F
miss,0.0413,F
sees,0.0413,F
discovery,0.041257143,F
burden,0.041254545,F
divorce,0.0412,F
applications,0.041171429,F
