Feature,Mean Difference,Gender
investment,0.020885714,F
preemption,0.020866667,F
deceptive,0.0208,F
efficiency,0.020733333,F
precludes,0.0207,F
prompted,0.0207,F
alien,0.020685714,F
becomes,0.020685714,F
efforts,0.0205,F
until,0.020488889,F
inquiry,0.020466667,F
terry,0.0204,F
texas,0.020355556,F
admission,0.02025,F
insured,0.0202,F
april,0.020142857,F
requirements,0.02014,F
company,0.020022222,F
en,0.019942857,F
warranted,0.0199,F
murders,0.0198,F
trigger,0.0198,F
dr,0.019771429,F
suspect,0.01975,F
percent,0.019742857,F
felony,0.019725,F
level,0.019622222,F
deadline,0.01955,F
worked,0.0195,F
sum,0.019425,F
exposed,0.0194,F
preclude,0.019342857,F
robinson,0.0193,F
regarding,0.019155556,F
martin,0.0191,F
record,0.019066667,F
teacher,0.019,F
controls,0.0189,F
morgan,0.0189,F
chevron,0.018885714,F
port,0.018866667,F
cooperative,0.0188,F
opportunity,0.018755556,F
rep,0.018755556,F
met,0.018742857,F
alleged,0.01866,F
uses,0.018525,F
based,0.018523077,F
controversy,0.0183,F
heavily,0.018,F
specified,0.01795,F
strong,0.01795,F
martinez,0.017933333,F
potentially,0.017933333,F
performing,0.0179,F
circumstances,0.017866667,F
husband,0.017866667,F
success,0.01784,F
acknowledges,0.0178,F
qualified,0.01775,F
administer,0.0177,F
preclusion,0.0177,F
december,0.017666667,F
fewer,0.0176,F
curiae,0.01755,F
insufficient,0.017485714,F
indicate,0.017457143,F
differs,0.0174,F
notify,0.0174,F
balance,0.017325,F
pipe,0.0173,F
missouri,0.017228571,F
ninth,0.017222222,F
possesses,0.0172,F
concurrent,0.01715,F
employment,0.01712,F
carried,0.017033333,F
tit,0.017,F
accorded,0.016966667,F
joint,0.016942857,F
voluntarily,0.016933333,F
abroad,0.0169,F
score,0.0169,F
harris,0.016885714,F
attributable,0.01684,F
constitutionality,0.01675,F
confront,0.0167,F
may,0.016671429,F
final,0.01656,F
testified,0.01655,F
family,0.016525,F
processing,0.0165,F
manual,0.01636,F
direction,0.016333333,F
probation,0.016333333,F
distress,0.0163,F
adult,0.016285714,F
coastal,0.0162,F
fuel,0.0162,F
especially,0.016171429,F
multiple,0.016114286,F
evidentiary,0.016085714,F
twenty,0.01604,F
religious,0.016022222,F
profession,0.016,F
approved,0.0159,F
study,0.015885714,F
appeal,0.015866667,F
educational,0.015828571,F
quickly,0.0158,F
untimely,0.0158,F
must,0.015785714,F
cocaine,0.015666667,F
operates,0.0156,F
wrongful,0.015566667,F
unlike,0.01555,F
disproportionate,0.0155,F
shaw,0.0155,F
enhancement,0.01544,F
lot,0.0154,F
ross,0.0154,F
determination,0.015381818,F
next,0.01535,F
calls,0.015333333,F
civil,0.01525,F
actor,0.0152,F
mont,0.0152,F
rent,0.0152,F
petition,0.015181818,F
inspection,0.01515,F
custody,0.015133333,F
erroneously,0.015133333,F
endorsement,0.0151,F
government,0.015061538,F
los,0.015,F
retains,0.015,F
teamsters,0.015,F
expired,0.014866667,F
viewed,0.014857143,F
lexis,0.01484,F
presented,0.01482,F
range,0.01475,F
participated,0.0147,F
vested,0.0147,F
defenses,0.01468,F
expiration,0.0146,F
february,0.0146,F
vacate,0.014533333,F
rendering,0.0145,F
implementing,0.01448,F
jobs,0.014466667,F
citations,0.014333333,F
notes,0.014325,F
actions,0.014272727,F
weapon,0.01424,F
w,0.014222222,F
override,0.0142,F
task,0.014142857,F
dissent's,0.0141,F
subsequently,0.014066667,F
awarding,0.014,F
trafficking,0.014,F
confined,0.01392,F
abrogate,0.0139,F
highway,0.0139,F
florida,0.013866667,F
angeles,0.0138,F
mo,0.0138,F
occurrence,0.0138,F
firearms,0.01372,F
grounds,0.0136,F
proffered,0.0136,F
punitive,0.0136,F
scene,0.0136,F
recommendation,0.01356,F
gun,0.0135,F
physically,0.0135,F
emphasizes,0.0134,F
fatal,0.0134,F
pool,0.0134,F
public,0.013353846,F
entity,0.013342857,F
addressed,0.013275,F
examined,0.01324,F
undue,0.01324,F
pp,0.013222222,F
comparative,0.0132,F
uscs,0.0132,F
officials,0.013177778,F
agricultural,0.0131,F
adversarial,0.013,F
constructive,0.013,F
contested,0.013,F
n.w,0.013,F
role,0.013,F
did,0.012928571,F
evaluated,0.0129,F
hostile,0.0129,F
routine,0.0129,F
returned,0.012828571,F
declared,0.012733333,F
percentage,0.012733333,F
run,0.012725,F
liability,0.012709091,F
license,0.01265,F
block,0.0126,F
monitoring,0.0126,F
ltd,0.01255,F
places,0.012542857,F
preliminary,0.012542857,F
registration,0.012485714,F
discretion,0.01246,F
classifications,0.01244,F
narrower,0.0124,F
one's,0.0124,F
instant,0.012333333,F
takings,0.012266667,F
undertaken,0.012266667,F
usually,0.01224,F
asked,0.01215,F
south,0.012125,F
citizenship,0.012066667,F
continuous,0.012,F
pipeline,0.012,F
innocence,0.011966667,F
consumer,0.011933333,F
disciplinary,0.011933333,F
protections,0.011885714,F
feb,0.0118,F
suppressed,0.0118,F
organizations,0.011742857,F
mental,0.011725,F
seq,0.011725,F
expressive,0.0117,F
yield,0.0117,F
airport,0.0116,F
immediate,0.011525,F
survive,0.0115,F
june,0.011457143,F
emphasizing,0.0114,F
persuasion,0.0114,F
circuits,0.011366667,F
timely,0.011342857,F
testimony,0.01134,F
estoppel,0.0113,F
reed,0.0113,F
butler,0.0112,F
consumers,0.0112,F
repeal,0.0112,F
suspend,0.0112,F
addressing,0.0111,F
briefing,0.0111,F
statutorily,0.0111,F
b,0.011085714,F
experience,0.011085714,F
delaware,0.011066667,F
fort,0.011,F
informal,0.011,F
review,0.010953846,F
august,0.010933333,F
innocent,0.010933333,F
balancing,0.0109,F
injury,0.01082,F
indistinguishable,0.0108,F
overbroad,0.0108,F
activity,0.010755556,F
fairly,0.01075,F
advanced,0.010733333,F
rehearing,0.01072,F
