id,mean_diff,G
own,0.04783333333333333,M
respectfully,0.047525,M
employed,0.047475,F
constraints,0.0474,F
state,0.0473,F
f.supp,0.0473,M
probably,0.04716666666666667,M
involving,0.04702222222222222,M
summary,0.046955555555555556,F
causing,0.0468,M
recent,0.0468,M
o’connor,0.046700000000000005,M
go,0.046625,M
unduly,0.0466,F
contain,0.04654285714285714,M
worth,0.04653333333333333,M
tend,0.0462,M
pub,0.04613333333333333,F
alternatively,0.046,F
occasion,0.04596666666666667,F
mention,0.045533333333333335,M
runs,0.0455,F
tex,0.0454,F
identified,0.0453,F
j,0.04516923076923077,F
premise,0.045142857142857144,M
pure,0.0451,M
act's,0.045085714285714285,F
remand,0.045066666666666665,F
stated,0.04506,F
really,0.04504,M
under,0.04498571428571429,F
then,0.04486153846153846,M
whatever,0.04482222222222222,M
clarify,0.0448,F
domain,0.044700000000000004,F
preserve,0.04468571428571429,M
know,0.04462222222222222,M
barring,0.044533333333333334,F
sentenced,0.044525,F
kan,0.0445,F
prescription,0.0445,F
naturally,0.04446666666666667,M
include,0.044422222222222224,M
qualifies,0.0444,F
century,0.0444,M
asserts,0.044,F
providing,0.04393333333333333,M
t,0.04383636363636364,M
supra,0.0438,F
subsection,0.0436,M
refund,0.04356,F
accept,0.0434,M
try,0.0434,M
if,0.043385714285714284,M
goal,0.04334285714285714,F
eventually,0.0433,F
sense,0.04315555555555556,M
commission’s,0.0431,M
meet,0.043075,F
taylor,0.04296666666666667,F
vote,0.04295555555555555,M
presidential,0.0429,M
served,0.042749999999999996,F
absent,0.0427,F
i,0.0427,M
regulate,0.042333333333333334,M
army,0.04226666666666667,M
unless,0.04214,M
hypothetical,0.04203333333333333,M
agency’s,0.042,M
structural,0.042,M
entirely,0.041933333333333336,M
them,0.041892307692307694,M
examples,0.041833333333333333,M
they,0.04172857142857143,M
relations,0.041725,M
improperly,0.0416,F
familiar,0.04156666666666667,M
absurd,0.041499999999999995,M
worse,0.041499999999999995,M
attorney’s,0.04136,M
deal,0.04108571428571429,M
eleventh,0.04105,F
accomplish,0.041,F
elsewhere,0.04073333333333333,M
goals,0.04066666666666667,F
nation's,0.0406,F
reply,0.0406,F
duration,0.0405,F
gives,0.0404,M
advisory,0.04033333333333333,F
governing,0.040325,F
governed,0.040285714285714286,F
years,0.040266666666666666,F
confirms,0.0402,M
held,0.04012307692307692,F
opinions,0.0401,M
about,0.04,M
note,0.03975555555555556,F
sole,0.03974285714285714,F
unanimous,0.0397,M
history,0.039654545454545456,M
pierce,0.0396,F
almost,0.0396,M
kinds,0.0396,M
faithful,0.0394,M
explain,0.0393,M
election,0.03922222222222222,M
occurring,0.0392,F
oversight,0.0392,F
presents,0.03911428571428571,F
things,0.03911428571428571,M
worker,0.039099999999999996,F
above,0.038955555555555556,M
turn,0.038955555555555556,M
m,0.03895,F
subjects,0.03884,M
crim,0.0388,F
meets,0.0388,F
normal,0.0388,M
refer,0.038714285714285715,M
commands,0.0387,M
political,0.03858181818181818,M
passed,0.03855,M
r,0.03854,F
her,0.03841666666666667,F
case,0.03838571428571429,M
y,0.03837142857142857,F
incentives,0.0382,F
logic,0.0382,M
interpret,0.03817142857142857,M
african,0.038099999999999995,F
perry,0.038,F
certified,0.03796,F
opportunities,0.0378,F
briefs,0.0377,M
amendment's,0.0376,F
engineers,0.0376,M
explicitly,0.0376,M
supported,0.037575,M
fit,0.037566666666666665,F
stat,0.037566666666666665,F
necessity,0.037514285714285715,M
sentencer,0.037500000000000006,F
recommended,0.0375,F
foster,0.0375,M
tribe's,0.0374,F
formed,0.0374,M
he,0.03735714285714286,M
cure,0.037333333333333336,F
acceptable,0.0373,M
sets,0.0373,M
below,0.03722222222222222,F
get,0.03713333333333333,M
adjudicate,0.0371,F
sections,0.037033333333333335,M
ann,0.036955555555555554,F
seven,0.03688,F
understood,0.036825,M
routinely,0.0368,F
among,0.03662222222222222,F
implied,0.03654285714285714,M
committee,0.036422222222222224,M
stressed,0.0364,F
fire,0.036333333333333336,F
conclusions,0.03623333333333333,M
implausible,0.0362,M
act’s,0.03613333333333334,M
reaching,0.03613333333333334,M
ever,0.036125,M
oil,0.0361,F
rptr,0.0361,F
statutory,0.036061538461538464,M
independently,0.036,F
england,0.036,M
fourteenth,0.03591111111111111,M
collected,0.0359,F
employer’s,0.0358,M
foregoing,0.0358,M
madison,0.0358,M
september,0.03573333333333333,F
following,0.03562222222222222,M
fcc,0.03548571428571429,M
importance,0.03535,M
lacked,0.035333333333333335,F
aff'd,0.0353,F
empted,0.0353,M
arguments,0.035275,M
formal,0.0352,F
absolutely,0.0351,M
ratification,0.0351,M
serious,0.03506666666666667,M
comm,0.035,M
ought,0.03493333333333333,M
puerto,0.0349,F
footnote,0.0347,M
answered,0.03468,F
letter,0.034675,F
sentence,0.034666666666666665,F
write,0.034666666666666665,F
tailored,0.0346,F
verdict,0.034555555555555555,F
refers,0.034485714285714286,M
fela,0.0344,F
inference,0.03434285714285714,M
developed,0.034314285714285714,F
claiming,0.0343,M
holmes,0.03424,M
jury’s,0.0342,M
file,0.034133333333333335,F
deprived,0.034114285714285715,M
suit,0.03410909090909091,F
become,0.03406666666666667,F
victims,0.03403333333333333,F
far,0.034022222222222225,M
counts,0.03394285714285714,F
supporting,0.03394285714285714,M
regard,0.03388888888888889,F
lesser,0.03376666666666667,M
qualify,0.033742857142857144,F
legislative,0.03365,M
general's,0.0336,F
denver,0.0336,M
referred,0.033485714285714285,M
were,0.033485714285714285,M
ordinary,0.03342222222222222,M
deem,0.0332,M
appeals,0.033185714285714284,F
respondent,0.03313846153846154,M
ala,0.033100000000000004,F
took,0.0331,F
misleading,0.033,F
taken,0.03297777777777778,M
n,0.032914285714285715,F
plaintiff’s,0.0329,M
ordered,0.03288888888888889,F
mr,0.032875,M
field,0.032857142857142856,M
prior,0.03283333333333333,F
rooted,0.03266666666666666,F
accordance,0.0326,M
h,0.03254,F
face,0.032466666666666665,F
board’s,0.0324,M
result,0.0324,M
unlikely,0.03236666666666667,M
excluded,0.032342857142857145,M
most,0.032233333333333336,M
holdings,0.0322,M
current,0.032100000000000004,F
legislature's,0.032100000000000004,F
anything,0.032100000000000004,M
instructed,0.03208571428571429,F
furtherance,0.0318,F
surprising,0.0318,M
reverse,0.03175,F
tied,0.031700000000000006,F
as,0.03168571428571429,M
sullivan,0.03164,M
homes,0.0316,M
automatically,0.031566666666666666,M
bars,0.03153333333333333,F
hudson,0.03153333333333333,F
simple,0.031525,M
suppose,0.03145,M
problems,0.0313,F
provide,0.03128333333333334,M
victim's,0.0312,F
cal.rptr,0.0312,M
example,0.03110909090909091,M
harv,0.0311,F
still,0.031088888888888888,M
part,0.031061538461538463,M
compete,0.031,M
disposition,0.031,M
stood,0.031,M
supposed,0.031,M
provides,0.030916666666666665,M
dealing,0.030914285714285714,M
intent,0.030836363636363637,M
firearm,0.030685714285714285,F
goods,0.0306,M
maintenance,0.0306,M
virtually,0.0306,M
supremacy,0.0305,M
substantially,0.030475000000000002,F
obliged,0.0304,F
supplies,0.0304,F
traditions,0.0304,M
cal,0.030355555555555556,F
serve,0.030355555555555556,F
utility,0.03024,F
pendency,0.0302,F
interpreting,0.030085714285714285,M
do,0.030061538461538462,M
appointments,0.0299,M
petitioner's,0.0298,F
mail,0.029742857142857144,F
immediately,0.0297,F
offices,0.0297,F
footnotes,0.0297,M
judge’s,0.0297,M
treats,0.0297,M
clear,0.029666666666666668,M
confine,0.0296,F
deems,0.0296,F
framed,0.0296,F
et,0.029555555555555557,F
successfully,0.029533333333333335,F
interpretive,0.02944,M
intended,0.02930909090909091,M
presence,0.0293,F
citing,0.02928888888888889,F
conviction,0.029272727272727273,F
killed,0.0292,F
desirable,0.0292,M
mission,0.029,F
altogether,0.028999999999999998,F
rigid,0.028933333333333335,F
significance,0.028925,M
maintain,0.028914285714285715,F
govern,0.028900000000000002,M
hereinafter,0.028885714285714285,F
deportation,0.028833333333333336,F
guided,0.0288,F
miss,0.0288,F
justification,0.0288,M
lengthy,0.0288,M
treatise,0.0288,M
unpersuasive,0.0288,M
harm,0.028755555555555555,M
stake,0.028733333333333333,F
instrument,0.0287,M
second,0.02866153846153846,M
due,0.02865,F
language,0.02865,M
novel,0.02864,M
ruling,0.028622222222222223,F
enough,0.028622222222222223,M
great,0.02855,M
need,0.02855,M
sound,0.028542857142857144,M
likely,0.028533333333333334,M
inherently,0.02825,F
assertions,0.0282,F
classic,0.0282,M
refuse,0.028066666666666667,M
extreme,0.02805,F
settle,0.028,F
describes,0.028,M
safe,0.028,M
structure,0.028,M
amended,0.027955555555555556,F
armed,0.027933333333333334,F
project,0.0279,F
differences,0.027885714285714285,M
eliminate,0.027833333333333335,M
similarly,0.02782222222222222,F
prepared,0.0278,F
minimal,0.02775,F
branch,0.027742857142857142,M
the,0.027685714285714286,M
demonstrates,0.027542857142857143,M
sometimes,0.0275,M
pass,0.027485714285714287,F
break,0.027466666666666667,F
concerning,0.027466666666666667,F
supervisor,0.027466666666666667,F
noted,0.02744,F
crawford,0.0274,F
terminal,0.0274,F
employee’s,0.0274,M
placed,0.027325,F
carry,0.027299999999999998,F
lease,0.027299999999999998,F
foreclose,0.027299999999999998,M
principles,0.027155555555555554,M
differently,0.027133333333333332,M
treating,0.027133333333333332,M
facilities,0.027114285714285712,M
word,0.027022222222222222,M
she,0.027,F
solicitation,0.027,F
phillips,0.027,M
surely,0.026822222222222223,M
corresponding,0.0268,F
q,0.0268,M
except,0.026755555555555557,M
interview,0.026733333333333335,F
low,0.026733333333333335,F
involves,0.026725,M
harassment,0.02664,F
district,0.0266,F
supervisors,0.0266,F
can,0.026553846153846154,M
sex,0.02655,M
plaintiffs,0.026533333333333332,F
facial,0.026520000000000002,F
bivens,0.026520000000000002,M
banc,0.026514285714285712,F
occasions,0.0265,F
reversing,0.0265,F
decides,0.0265,M
protects,0.0265,M
putting,0.0265,M
take,0.0265,M
immigration,0.026433333333333333,F
merely,0.02642,M
finality,0.026266666666666667,F
once,0.026266666666666667,F
emotional,0.02624,F
employer's,0.026166666666666668,F
indicated,0.026114285714285715,F
gender,0.026099999999999998,F
respecting,0.026099999999999998,M
del,0.026,F
top,0.026,F
considerations,0.026,M
compel,0.025966666666666666,F
affirmed,0.025955555555555555,F
limits,0.025955555555555555,M
smith,0.0259,F
perjury,0.0259,M
no,0.025857142857142856,M
comparable,0.025833333333333333,M
create,0.025822222222222222,M
directs,0.0258,F
institutional,0.0258,F
statute's,0.025742857142857144,M
claimed,0.025724999999999998,M
prohibit,0.025675,M
pattern,0.025633333333333334,F
exceptional,0.0256,F
relates,0.0256,F
