Feature,Mean Difference,Gender
turned,0.0106,F
workplace,0.0106,F
registration,0.010542857,F
losses,0.0105,F
analogous,0.01044,F
tax,0.010430769,F
seizure,0.010425,F
beliefs,0.01035,F
relationship,0.010288889,F
notwithstanding,0.010285714,F
rogers,0.0102,F
land,0.010111111,F
she,0.01008,F
terry,0.01004,F
notification,0.01,F
consumers,0.009966667,F
per,0.009955556,F
voluntary,0.00995,F
seq,0.0099,F
implementing,0.00984,F
bar,0.009822222,F
incentive,0.0098,F
recommendation,0.0098,F
tribe,0.009711111,F
omission,0.00964,F
oct,0.0096,F
metropolitan,0.00955,F
carries,0.0095,F
offered,0.0095,F
confined,0.0094,F
weigh,0.0094,F
takings,0.009333333,F
exceeds,0.0093,F
promotion,0.0093,F
reasonably,0.009288889,F
nov,0.009266667,F
alabama,0.009225,F
briefing,0.0092,F
year,0.009127273,F
addition,0.009088889,F
lack,0.009088889,F
classifications,0.00904,F
relate,0.00904,F
regarding,0.009022222,F
ii,0.009016667,F
ark,0.009,F
holds,0.009,F
looked,0.009,F
rehearing,0.00892,F
stake,0.008866667,F
exercise,0.008854545,F
forcing,0.0088,F
inspection,0.0088,F
lacking,0.0088,F
penry,0.0088,F
trial,0.0088,F
uniformly,0.0088,F
texas,0.008755556,F
safeguards,0.00872,F
capacity,0.0087,F
victim’s,0.0087,F
convicted,0.008622222,F
outset,0.0086,F
secondary,0.008566667,F
fairness,0.008514286,F
punitive,0.0085,F
emphasizes,0.0084,F
denied,0.008381818,F
strong,0.00835,F
intrusion,0.008333333,F
establishment,0.0083,F
injury,0.00828,F
butler,0.0082,F
letters,0.0082,F
physically,0.0082,F
courtroom,0.0081,F
tangible,0.008066667,F
rep,0.008044444,F
reasonableness,0.008028571,F
attendance,0.008,F
caution,0.008,F
pipeline,0.008,F
rightly,0.008,F
employment,0.00796,F
fairly,0.00795,F
expansion,0.0079,F
i.e,0.0079,F
training,0.007866667,F
doc,0.007866667,F
eaja,0.0078,F
determination,0.007781818,F
damages,0.007766667,F
ban,0.007685714,F
command,0.007666667,F
contested,0.0076,F
competing,0.007533333,F
possess,0.007533333,F
potentially,0.007533333,F
describing,0.007514286,F
cty,0.0075,F
felonies,0.0075,F
offender,0.007485714,F
permitted,0.007422222,F
alternatives,0.0074,F
ferguson,0.0074,F
lockett,0.0074,F
actions,0.007381818,F
number,0.007377778,F
jurisdiction,0.007338462,F
environment,0.007333333,F
working,0.007333333,F
denial,0.007311111,F
usually,0.00724,F
responses,0.0072,F
stations,0.0072,F
weapon,0.0072,F
carried,0.007166667,F
instance,0.007088889,F
truck,0.007,F
remain,0.00695,F
circuits,0.006933333,F
district’s,0.0069,F
brady,0.00684,F
ins,0.006825,F
ordinance,0.006825,F
reconsider,0.0068,F
declaration,0.006766667,F
immediate,0.006742857,F
nation’s,0.00672,F
deadly,0.0067,F
mandamus,0.0067,F
acted,0.006685714,F
approved,0.00665,F
concurring,0.006581818,F
officials,0.006555556,F
initial,0.00655,F
sentencing,0.006527273,F
prejudice,0.0065,F
years,0.0065,F
test,0.006454545,F
registered,0.00644,F
multiple,0.006428571,F
procedural,0.006422222,F
heavy,0.0064,F
shift,0.0064,F
specify,0.0064,F
economy,0.0063,F
harmful,0.0063,F
municipalities,0.0063,F
americans,0.0062,F
repose,0.0062,F
account,0.006155556,F
citizenship,0.006133333,F
nelson,0.0061,F
director,0.006085714,F
garcia,0.006,F
navigable,0.006,F
balance,0.00595,F
immigration,0.005933333,F
advertising,0.0059,F
municipality,0.0059,F
waters,0.0059,F
compulsion,0.0058,F
consumption,0.0058,F
notified,0.0058,F
reg,0.005766667,F
hereinafter,0.005742857,F
hill,0.0057,F
anticipated,0.005666667,F
accomplish,0.0056,F
advertisements,0.0056,F
identification,0.005533333,F
possessed,0.00552,F
restitution,0.0055,F
federal,0.005428571,F
arrangements,0.0054,F
criteria,0.005342857,F
organizations,0.005314286,F
deadline,0.0053,F
nevertheless,0.0053,F
anomalous,0.0052,F
fatal,0.0052,F
icc,0.0052,F
insanity,0.0052,F
problems,0.00515,F
disproportionate,0.0051,F
vested,0.0051,F
husband,0.005066667,F
fort,0.005,F
trucking,0.005,F
overcome,0.00484,F
virginia,0.004822222,F
knew,0.004742857,F
sheriff,0.0047,F
reliability,0.00464,F
claimant,0.004633333,F
outweigh,0.0046,F
retroactively,0.0046,F
governmental,0.004555556,F
approximately,0.004466667,F
carrying,0.004466667,F
afford,0.00444,F
del,0.0044,F
sector,0.0044,F
substitute,0.0044,F
dealers,0.00435,F
solely,0.004325,F
accounting,0.0043,F
reed,0.0043,F
