id,mean_diff,G
through,0.046727273,M
refers,0.046725,M
declare,0.0465,M
shift,0.0464,M
containing,0.04635,M
parties,0.046109091,M
meaningless,0.0461,M
restrain,0.0461,M
ones,0.04604,M
reaches,0.046028571,M
issue,0.045981818,M
grievance,0.04595,M
though,0.045818182,M
wished,0.0458,M
wish,0.04572,M
requires,0.045709091,M
identify,0.045628571,M
contain,0.0456,M
firm,0.0455,M
look,0.04545,M
message,0.045433333,M
mixed,0.0454,M
various,0.0454,M
gates,0.0453,M
presumptively,0.0453,M
ford,0.04524,M
impair,0.0451,M
bivens,0.045066667,M
basis,0.045054545,M
csa,0.045,M
papers,0.0449,M
foreclose,0.0449,M
nat,0.0449,M
faithful,0.044866667,M
subsequent,0.044675,M
ago,0.04465,M
raise,0.04455,M
defined,0.044488889,M
dr,0.044428571,M
imprisoned,0.0444,M
authorization,0.044233333,M
spoken,0.0442,M
discriminated,0.0441,M
maryland,0.044075,M
boundary,0.044,M
suspend,0.0439,M
debates,0.0438,M
taxed,0.0438,M
fee,0.043777778,M
worst,0.0436,M
suggest,0.043577778,M
enjoin,0.0434,M
own,0.043381818,M
n.y,0.0433,M
substances,0.04312,M
delays,0.0431,M
purport,0.0431,M
shall,0.043018182,M
exception,0.04286,M
bail,0.0428,M
street,0.0427,M
unwilling,0.0426,M
trying,0.04244,M
clear,0.042418182,M
october,0.04235,M
expenses,0.04225,M
late,0.042233333,M
indictment,0.0422,M
prefer,0.0422,M
invasion,0.0421,M
quantity,0.042,M
frequently,0.042,M
bay,0.0419,M
respecting,0.0419,M
transfers,0.0418,M
add,0.04176,M
statutorily,0.041666667,M
them,0.041618182,M
framers,0.0416,M
beneficiary,0.0415,M
subdivision,0.04144,M
el,0.0413,M
judges,0.041177778,M
speech,0.041109091,M
promulgate,0.0411,M
ratification,0.041033333,M
amendments,0.040975,M
terminated,0.0409,M
conducting,0.0409,M
foreclosed,0.040866667,M
appears,0.040777778,M
repealed,0.0407,M
roberts,0.040666667,M
legally,0.040433333,M
commission’s,0.0404,M
party,0.0404,M
institution,0.04036,M
superfluous,0.04035,M
portion,0.04025,M
dictionary,0.040228571,M
intention,0.040228571,M
compulsory,0.0401,M
wife,0.0401,M
departure,0.039925,M
jefferson,0.0399,M
narrow,0.03965,M
elimination,0.0396,M
motives,0.0395,M
early,0.039485714,M
fair,0.039466667,M
case,0.039454545,M
organized,0.0394,M
municipality,0.0394,M
supremacy,0.0394,M
supported,0.03935,M
greater,0.039333333,M
fell,0.0393,M
william,0.0392,M
delaware,0.039133333,M
understanding,0.039066667,M
scientific,0.03904,M
demonstrated,0.039033333,M
use,0.039018182,M
invalidating,0.038666667,M
candidate,0.0385,M
restricted,0.0385,M
sales,0.038488889,M
precisely,0.03845,M
field,0.0384,M
fundamentally,0.03824,M
story,0.03824,M
stage,0.0382,M
little,0.038111111,M
importation,0.0381,M
numerous,0.038,M
