id,mean_diff,G
prohibited,0.07605,M
opposite,0.0759,M
deciding,0.075775,M
teague,0.0756,F
consist,0.0754,M
creating,0.0754,M
prescribed,0.0754,M
interests,0.075109091,F
strong,0.075075,F
asserting,0.07504,F
availability,0.075,F
guilty,0.075,F
iii,0.07496,M
presence,0.074875,F
merit,0.074866667,M
montana,0.07484,F
with,0.074763636,M
explicitly,0.074711111,M
gave,0.07455,F
arise,0.0744,M
consisted,0.0744,M
prohibitions,0.0744,M
fund,0.074375,M
sum,0.07435,F
belief,0.074325,M
condemned,0.0742,M
committed,0.074177778,F
combined,0.07395,M
d.c,0.0739,F
loss,0.0738,F
serves,0.0738,F
comm’n,0.07375,M
withholding,0.0737,F
consequence,0.073685714,M
phrase,0.073533333,M
like,0.073527273,M
throughout,0.073485714,M
wrote,0.073485714,M
concepts,0.0734,F
sentenced,0.073228571,F
f.supp,0.07305,M
brooks,0.073,F
milk,0.07296,M
be,0.072890909,M
goal,0.072828571,F
hired,0.0728,F
party's,0.0728,F
facts,0.072709091,F
vacated,0.0727,F
james,0.0726,M
elsewhere,0.072466667,M
suggested,0.07235,F
denied,0.07232,F
breach,0.0723,M
hard,0.071828571,M
order,0.071727273,F
rules,0.071527273,M
ore,0.0714,F
sex,0.071222222,F
assuredly,0.0712,M
pollution,0.07115,M
subsection,0.071125,M
offering,0.071,F
successfully,0.071,F
activity,0.071,M
reported,0.07092,F
location,0.070909091,F
respondent,0.070890909,F
recognizing,0.070885714,F
breadth,0.070466667,F
subcommittee,0.0704,F
designated,0.07036,M
qualifies,0.0702,F
stating,0.070175,M
many,0.070054545,M
son,0.07,F
prospect,0.0699,F
way,0.069836364,M
conclusions,0.069833333,M
et,0.069775,F
amounts,0.06965,M
prosecutor's,0.0696,F
delegate,0.0696,M
unpersuasive,0.0696,M
actually,0.069511111,M
injury,0.0695,F
women,0.0695,F
short,0.069444444,F
sets,0.069433333,M
independently,0.0694,F
fire,0.069314286,F
competitive,0.0692,F
notify,0.0692,F
la,0.069033333,M
impose,0.068977778,M
apr,0.06895,F
absolute,0.068942857,F
fired,0.0688,F
set,0.068781818,M
subsections,0.06875,M
freedom,0.068725,M
clean,0.06872,M
logical,0.0687,M
avoidance,0.0686,M
consists,0.06852,M
oversight,0.0685,F
vi,0.0685,M
w,0.068488889,M
discuss,0.0684,M
expect,0.0684,M
stood,0.0684,M
record,0.068181818,F
supervised,0.0681,F
located,0.0681,M
curiae,0.068075,F
know,0.068044444,M
